xrays,masks
data/xrays/47.png,data/masks/47.png
data/xrays/48.png,data/masks/48.png
data/xrays/49.png,data/masks/49.png
data/xrays/5.png,data/masks/5.png
data/xrays/50.png,data/masks/50.png
data/xrays/51.png,data/masks/51.png
data/xrays/52.png,data/masks/52.png
data/xrays/53.png,data/masks/53.png
data/xrays/54.png,data/masks/54.png
data/xrays/55.png,data/masks/55.png
data/xrays/56.png,data/masks/56.png
data/xrays/57.png,data/masks/57.png
data/xrays/58.png,data/masks/58.png
data/xrays/59.png,data/masks/59.png
data/xrays/6.png,data/masks/6.png
data/xrays/60.png,data/masks/60.png
data/xrays/61.png,data/masks/61.png
data/xrays/62.png,data/masks/62.png
data/xrays/63.png,data/masks/63.png
data/xrays/64.png,data/masks/64.png
data/xrays/65.png,data/masks/65.png
data/xrays/66.png,data/masks/66.png
data/xrays/67.png,data/masks/67.png
data/xrays/68.png,data/masks/68.png
data/xrays/69.png,data/masks/69.png
data/xrays/7.png,data/masks/7.png
data/xrays/70.png,data/masks/70.png
data/xrays/71.png,data/masks/71.png
data/xrays/72.png,data/masks/72.png
data/xrays/73.png,data/masks/73.png
data/xrays/74.png,data/masks/74.png
data/xrays/75.png,data/masks/75.png
data/xrays/76.png,data/masks/76.png
data/xrays/77.png,data/masks/77.png
data/xrays/78.png,data/masks/78.png
data/xrays/79.png,data/masks/79.png
data/xrays/8.png,data/masks/8.png
data/xrays/80.png,data/masks/80.png
data/xrays/81.png,data/masks/81.png
data/xrays/82.png,data/masks/82.png
data/xrays/83.png,data/masks/83.png
data/xrays/84.png,data/masks/84.png
data/xrays/85.png,data/masks/85.png
data/xrays/86.png,data/masks/86.png
data/xrays/87.png,data/masks/87.png
data/xrays/88.png,data/masks/88.png
data/xrays/89.png,data/masks/89.png
data/xrays/9.png,data/masks/9.png
data/xrays/90.png,data/masks/90.png
data/xrays/91.png,data/masks/91.png
data/xrays/92.png,data/masks/92.png
data/xrays/93.png,data/masks/93.png
data/xrays/94.png,data/masks/94.png
data/xrays/95.png,data/masks/95.png
data/xrays/96.png,data/masks/96.png
data/xrays/97.png,data/masks/97.png
data/xrays/98.png,data/masks/98.png
data/xrays/99.png,data/masks/99.png
